,Код субъекта РФ,Субъект федерации
0,1,Адыгея республика
1,2,Башкортостан республика
2,3,Бурятия республика
3,4,Алтай республика
4,5,Дагестан республика
5,6,Ингушетия республика
6,7,Кабардино-Балкарская республика
7,8,Калмыкия республика
8,9,Карачаево-Черкесская республика
9,10,Карелия республика
10,11,Коми республика
11,12,Марий Эл республика
12,13,Мордовия республика
13,14,Саха /Якутия/ республика
14,15,Северная Осетия - Алания республика
15,16,Татарстан республика
16,17,Тыва республика
17,18,Удмуртская республика
18,19,Хакасия республика
19,20,Чеченская республика
20,21,Чувашская Республика - Чувашия
21,22,Алтайский край
22,23,Краснодарский край
23,24,Красноярский край
24,25,Приморский край
25,26,Ставропольский край
26,27,Хабаровский край
27,28,Амурская область
28,29,Архангельская область
29,30,Астраханская область
30,31,Белгородская область
31,32,Брянская область
32,33,Владимирская область
33,34,Волгоградская область
34,35,Вологодская область
35,36,Воронежская область
36,37,Ивановская область
37,38,Иркутская область
38,39,Калининградская область
39,40,Калужская область
40,41,Камчатский край
41,42,Кемеровская область
42,43,Кировская область
43,44,Костромская область
44,45,Курганская область
45,46,Курская область
46,47,Ленинградская область
47,48,Липецкая область
48,49,Магаданская область
49,50,Московская область
50,51,Мурманская область
51,52,Нижегородская область
52,53,Новгородская область
53,54,Новосибирская область
54,55,Омская область
55,56,Оренбургская область
56,57,Орловская область
57,58,Пензенская область
58,59,Пермский край
59,60,Псковская область
60,61,Ростовская область
61,62,Рязанская область
62,63,Самарская область
63,64,Саратовская область
64,65,Сахалинская область
65,66,Свердловская область
66,67,Смоленская область
67,68,Тамбовская область
68,69,Тверская область
69,70,Томская область
70,71,Тульская область
71,72,Тюменская область
72,73,Ульяновская область
73,74,Челябинская область
74,75,Забайкальский край
75,76,Ярославская область
76,77,Москва город
77,78,Санкт-Петербург город
78,79,Еврейская автономная область
79,83,Ненецкий автономный округ
80,86,Ханты-Мансийский Автономный округ - Югра автономный округ
81,87,Чукотский автономный округ
82,89,Ямало-Ненецкий автономный округ
83,91,Крым республика
84,92,Севастополь город
85,99,Байконур город
